school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Clemson,1944,9,4,5,0,,,-5,,,,Frank,Howard
Clemson,1945,10,6,3,1,,,12.4,,,,Frank,Howard
Clemson,1946,9,4,5,0,,,-0.9,,,,Frank,Howard
Clemson,1947,9,4,5,0,,,1.1,,,,Frank,Howard
Clemson,1948,11,11,0,0,,11,13.4,,,,Frank,Howard
Clemson,1949,10,4,4,2,,,-6.5,,,,Frank,Howard
Clemson,1950,10,9,0,1,,10,15.1,,,,Frank,Howard
Clemson,1951,10,7,3,0,,19,7.1,,,,Frank,Howard
Clemson,1952,9,2,6,1,,,-1.9,,,,Frank,Howard
Clemson,1953,9,3,5,1,,,-4.7,,,,Frank,Howard
Clemson,1954,10,5,5,0,,,5.5,,,,Frank,Howard
Clemson,1955,10,7,3,0,,,3.3,,,,Frank,Howard
Clemson,1956,11,7,2,2,,19,8.2,,,,Frank,Howard
Clemson,1957,10,7,3,0,,,12.9,,,,Frank,Howard
Clemson,1958,11,8,3,0,18,12,5.2,,,,Frank,Howard
Clemson,1959,11,9,2,0,18,11,14.5,,,,Frank,Howard
Clemson,1960,10,6,4,0,9,,0.8,,,,Frank,Howard
Clemson,1961,10,5,5,0,,,10.9,,,,Frank,Howard
Clemson,1962,10,6,4,0,,,6.8,,,,Frank,Howard
Clemson,1963,10,5,4,1,,,7.7,,,,Frank,Howard
Clemson,1964,10,3,7,0,,,-3.6,,,,Frank,Howard
Clemson,1965,10,5,5,0,,,3.7,,,,Frank,Howard
Clemson,1966,10,6,4,0,,,6.9,,,,Frank,Howard
Clemson,1967,10,6,4,0,,,8.9,,,,Frank,Howard
Clemson,1968,10,4,5,1,,,7.1,,,,Frank,Howard
Clemson,1969,10,4,6,0,,,-5.9,,,,Frank,Howard
Long Beach State,1974,11,6,5,0,,,-9.4,-7.7,24.5,31.7,Wayne,Howard
Long Beach State,1975,11,9,2,0,,,1.8,5.1,25.9,21.6,Wayne,Howard
Long Beach State,1976,11,8,3,0,,,-7.5,-8,16.5,24.1,Wayne,Howard
Utah,1977,11,3,8,0,,,-9.5,-15,26.6,38.6,Wayne,Howard
Utah,1978,11,8,3,0,,,5.1,7.1,28.7,22.8,Wayne,Howard
Utah,1979,12,6,6,0,,,0.3,5.4,30.7,26.9,Wayne,Howard
Utah,1980,11,5,5,1,,,2.7,7.5,34.6,29,Wayne,Howard
Utah,1981,11,8,2,1,,,3.5,5,31.2,28,Wayne,Howard
Arizona State,1938,9,3,6,0,,,-20.4,,,,Dixie,Howell
Arizona State,1939,11,8,2,1,,,-4.8,,,,Dixie,Howell
Arizona State,1940,11,7,2,2,,,-6.8,,,,Dixie,Howell
Arizona State,1941,11,5,5,1,,,-23.9,,,,Dixie,Howell
Idaho,1947,8,4,4,0,,,-16.1,,,,Dixie,Howell
Idaho,1948,9,3,6,0,,,-11.5,,,,Dixie,Howell
Idaho,1949,8,3,5,0,,,-12.2,,,,Dixie,Howell
Idaho,1950,9,3,5,1,,,-8.3,,,,Dixie,Howell
Iowa State,1913,8,4,4,0,,,-10.7,,,,Homer,Hubbard
Iowa State,1914,7,4,3,0,,,6.5,,,,Homer,Hubbard
Louisiana,2011,13,9,4,0,,,-5.2,-9.8,22,33.1,Mark,Hudspeth
Louisiana,2012,13,9,4,0,,,1.2,0,32.5,34.7,Mark,Hudspeth
Louisiana,2013,13,9,4,0,,,-6.4,-12.5,26.2,38.2,Mark,Hudspeth
Louisiana,2014,13,9,4,0,,,-5.7,2.2,30,29.3,Mark,Hudspeth
Louisiana,2015,12,4,8,0,,,-18.9,-7.1,24.2,32.1,Mark,Hudspeth
Louisiana,2016,13,6,7,0,,,-9.8,-8.7,19.8,29.4,Mark,Hudspeth
Louisiana,2017,12,5,7,0,,,-20,-15.8,27.5,42.9,Mark,Hudspeth
BYU,1964,10,3,6,1,,,-5.3,,,,Tommy,Hudspeth
BYU,1965,10,6,4,0,,,-0.6,,,,Tommy,Hudspeth
BYU,1966,10,8,2,0,,,9.6,,,,Tommy,Hudspeth
BYU,1967,10,6,4,0,,,7.5,,,,Tommy,Hudspeth
BYU,1968,10,2,8,0,,,-9.1,,,,Tommy,Hudspeth
BYU,1969,10,6,4,0,,,3.9,,,,Tommy,Hudspeth
BYU,1970,11,3,8,0,,,-9.4,-9,17,25.6,Tommy,Hudspeth
BYU,1971,11,5,6,0,,,1.3,-0.3,23.4,23.5,Tommy,Hudspeth
UTEP,1973,11,0,11,0,,,-29.5,-33.3,23.7,49,Tommy,Hudspeth
Illinois,1895,7,4,2,1,,,,,,,George,Huff
Illinois,1896,7,4,2,1,,,,,,,George,Huff
Illinois,1897,8,6,2,0,,,-5.6,,,,George,Huff
Illinois,1898,9,4,5,0,,,-1.7,,,,George,Huff
Illinois,1899,9,3,5,1,,,-12.2,,,,George,Huff
New Mexico,1947,10,4,5,1,,,-17.8,,,,Berl,Huffman
New Mexico,1948,11,2,9,0,,,-19.4,,,,Berl,Huffman
New Mexico,1949,10,2,8,0,,,-27.5,,,,Berl,Huffman
Colorado State,1911,6,0,6,0,,,-40.9,,,,Harry,Hughes
Colorado State,1912,5,3,2,0,,,8.4,,,,Harry,Hughes
Colorado State,1913,5,3,2,0,,,-17.2,,,,Harry,Hughes
Colorado State,1914,7,3,4,0,,,-8.8,,,,Harry,Hughes
Colorado State,1915,7,7,0,0,,,19.3,,,,Harry,Hughes
Colorado State,1916,7,6,0,1,,,46.5,,,,Harry,Hughes
Colorado State,1917,8,0,7,1,,,-48,,,,Harry,Hughes
Colorado State,1918,2,0,2,0,,,,,,,Harry,Hughes
Colorado State,1919,8,7,1,0,,,-29.2,,,,Harry,Hughes
Colorado State,1920,8,6,1,1,,,16.7,,,,Harry,Hughes
Colorado State,1921,6,2,3,1,,,-2,,,,Harry,Hughes
Colorado State,1922,8,5,2,1,,,-4.4,,,,Harry,Hughes
Colorado State,1923,8,5,2,1,,,3.8,,,,Harry,Hughes
Colorado State,1924,6,4,2,0,,,-2.5,,,,Harry,Hughes
Colorado State,1925,10,9,1,0,,,-5.2,,,,Harry,Hughes
Colorado State,1926,9,6,2,1,,,-14.1,,,,Harry,Hughes
Colorado State,1927,8,7,1,0,,,0.3,,,,Harry,Hughes
Colorado State,1928,8,6,2,0,,,-1.7,,,,Harry,Hughes
Colorado State,1929,9,5,4,0,,,-23.5,,,,Harry,Hughes
Colorado State,1930,9,3,5,1,,,-8.2,,,,Harry,Hughes
Colorado State,1931,9,5,4,0,,,-7.4,,,,Harry,Hughes
Colorado State,1932,8,4,3,1,,,-6.8,,,,Harry,Hughes
Colorado State,1933,7,5,1,1,,,-5.8,,,,Harry,Hughes
Colorado State,1934,9,6,2,1,,,-8,,,,Harry,Hughes
Colorado State,1935,8,3,4,1,,,-11.7,,,,Harry,Hughes
Colorado State,1936,9,4,4,1,,,-14.3,,,,Harry,Hughes
Colorado State,1937,8,1,7,0,,,-31.8,,,,Harry,Hughes
Colorado State,1938,8,1,5,2,,,-22.9,,,,Harry,Hughes
Colorado State,1939,9,2,7,0,,,-16,,,,Harry,Hughes
Colorado State,1940,9,3,4,2,,,-19.5,,,,Harry,Hughes
Colorado State,1941,7,4,2,1,,,-12.6,,,,Harry,Hughes
Washington,1917,4,1,2,1,,,-27.6,,,,Claude,Hunt
Washington,1919,6,5,1,0,,,16.5,,,,Claude,Hunt
Georgia,1938,10,5,4,1,,,1.4,,,,Joel,Hunt
Wyoming,1939,8,0,7,1,,,-31.6,,,,Joel,Hunt
Oregon,1918,6,4,2,0,,,,,,,Shy,Huntington
Oregon,1919,7,5,2,0,,,19,,,,Shy,Huntington
Oregon,1920,6,3,2,1,,,5.8,,,,Shy,Huntington
Oregon,1921,9,5,1,3,,,7.3,,,,Shy,Huntington
Oregon,1922,8,6,1,1,,,10.7,,,,Shy,Huntington
Oregon,1923,8,3,4,1,,,1.3,,,,Shy,Huntington
Tulsa,1936,9,5,2,2,,,6.1,,,,Vic,Hurt
Tulsa,1937,10,6,2,2,,,9.9,,,,Vic,Hurt
Tulsa,1938,10,4,5,1,,,-5.4,,,,Vic,Hurt
Dickinson,1902,10,4,6,0,,,4.1,,,,Charles,Hutchins
Dickinson,1903,12,7,5,0,,,10.5,,,,Charles,Hutchins
Wisconsin,1906,5,5,0,0,,,9.7,,,,Charles,Hutchins
Wisconsin,1907,5,3,1,1,,,-0.1,,,,Charles,Hutchins
Dickinson,1901,10,4,6,0,,,-6.5,,,,Ralph,Hutchinson
Texas,1903,8,5,1,2,,,7.8,,,,Ralph,Hutchinson
Texas,1904,8,6,2,0,,,7.8,,,,Ralph,Hutchinson
Texas,1905,9,5,4,0,,,3.1,,,,Ralph,Hutchinson
Washington & Jefferson,1918,4,2,2,0,,,,,,,Ralph,Hutchinson
Tulane,2012,6,0,6,0,,,-19.2,-22.5,17.8,41.3,Mark,Hutson
TCU,1905,8,4,4,0,,,-9.8,,,,E.J.,Hyde
TCU,1906,7,2,5,0,,,-40,,,,E.J.,Hyde
TCU,1907,8,4,2,2,,,-20.8,,,,E.J.,Hyde
UNLV,1982,11,3,8,0,,,-10.1,-7.6,29,35.1,Harvey,Hyde
UNLV,1983,11,7,4,0,,,-1,-0.4,24.2,24.7,Harvey,Hyde
UNLV,1984,13,11,2,0,,,2.4,12.4,35.4,24.7,Harvey,Hyde
UNLV,1985,11,5,5,1,,,-12.7,-11.8,14.5,25.4,Harvey,Hyde
Akron,2010,12,1,11,0,0,0,-28.2,-28.2,11,37.2,Rob,Ianello
Akron,2011,12,1,11,0,0,0,-30.2,-29.1,11.9,40.2,Rob,Ianello
Colgate,1911,9,3,6,0,,,3,,,,Jack,Ingersoll
Virginia Tech,1916,9,7,2,0,,,8.6,,,,Jack,Ingersoll
Clemson,1970,11,3,8,0,,,-9,-7.1,23.4,29.9,Cecil,Ingram
Clemson,1971,11,5,6,0,,,0.9,-2.7,17.8,20.2,Cecil,Ingram
Clemson,1972,11,4,7,0,,,-3.7,-5.6,18.2,23.7,Cecil,Ingram
Navy,1915,9,3,5,1,,,4,,,,Jonas,Ingram
Navy,1916,10,6,3,1,,,20.8,,,,Jonas,Ingram
William & Mary,1922,9,6,3,0,,,-2.4,,,,William,Ingram
Indiana,1923,7,3,4,0,,,-8.6,,,,William,Ingram
Indiana,1924,8,4,4,0,,,-1.3,,,,William,Ingram
Indiana,1925,8,3,4,1,,,4,,,,William,Ingram
Navy,1926,10,9,0,1,,,19.2,,,,William,Ingram
Navy,1927,9,6,3,0,,,12.1,,,,William,Ingram
Navy,1928,9,5,3,1,,,4.9,,,,William,Ingram
Navy,1929,10,6,2,2,,,12.3,,,,William,Ingram
Navy,1930,11,6,5,0,,,-0.7,,,,William,Ingram
California,1931,10,8,2,0,,,21.7,,,,William,Ingram
California,1932,12,7,3,2,,,15.6,,,,William,Ingram
California,1933,11,6,3,2,,,15.4,,,,William,Ingram
California,1934,12,6,6,0,,,7.5,,,,William,Ingram
Iowa,1924,8,6,1,1,,,12.4,,,,Burton,Ingwersen
Iowa,1925,8,5,3,0,,,8.4,,,,Burton,Ingwersen
Iowa,1926,8,3,5,0,,,1.2,,,,Burton,Ingwersen
Iowa,1927,8,4,4,0,,,-3.5,,,,Burton,Ingwersen
Iowa,1928,8,6,2,0,,,10.3,,,,Burton,Ingwersen
Iowa,1929,8,4,2,2,,,15.6,,,,Burton,Ingwersen
Iowa,1930,8,4,4,0,,,4.5,,,,Burton,Ingwersen
Iowa,1931,8,1,6,1,,,-4.2,,,,Burton,Ingwersen
Northern Illinois,1971,11,5,5,1,,,-7,-6.7,22.2,28.3,Jerry,Ippoliti
Northern Illinois,1972,11,7,4,0,,,-8.9,-4.6,15.9,20.2,Jerry,Ippoliti
Northern Illinois,1973,11,6,5,0,,,-15.6,-14.4,26.6,37.5,Jerry,Ippoliti
Northern Illinois,1974,11,4,7,0,,,-18.6,-24.8,12.6,35.4,Jerry,Ippoliti
Northern Illinois,1975,11,3,8,0,,,-10.2,-11.8,17,28,Jerry,Ippoliti
Purdue,1944,10,5,5,0,,,20.8,,,,Cecil,Isbell
Purdue,1945,10,7,3,0,,,23.2,,,,Cecil,Isbell
Purdue,1946,9,2,6,1,,,8.4,,,,Cecil,Isbell
Appalachian State,2018,1,1,0,0,,,10.7,11.9,30,19,Mark,Ivey
Boston College,2007,14,11,3,0,,10,9.7,16.7,32,14.6,Jeff,Jagodzinski
Boston College,2008,14,9,5,0,,,7,11,23,10,Jeff,Jagodzinski
Kent State,1971,11,3,8,0,,,-13.2,-11.1,21.1,31.4,Don,James
Kent State,1972,12,6,5,1,,,-8.4,4.6,21,17.5,Don,James
Kent State,1973,11,9,2,0,,,10.9,23.6,34,11,Don,James
Kent State,1974,11,7,4,0,,,1,7.6,25.9,19.2,Don,James
Washington,1975,11,6,5,0,,,7,11,29.4,19.5,Don,James
Washington,1976,11,5,6,0,,,6.9,1.4,25.1,24,Don,James
Washington,1977,12,8,4,0,,10,18.8,20.7,36.7,17.4,Don,James
Washington,1978,11,7,4,0,11,,20.5,20.4,32.7,13.1,Don,James
Washington,1979,12,9,3,0,15,11,19.7,20.2,33.2,14,Don,James
Washington,1980,12,9,3,0,20,16,15.3,13.2,32.9,20.5,Don,James
Washington,1981,12,10,2,0,15,10,13.1,13,28.8,16.5,Don,James
Washington,1982,12,10,2,0,2,7,16.7,17.8,35.6,19.4,Don,James
Washington,1983,12,8,4,0,18,,8.5,6.6,25.9,20.2,Don,James
Washington,1984,12,11,1,0,18,2,16.6,23,35.7,13.5,Don,James
Washington,1985,12,7,5,0,12,,5.3,7.6,26.6,19.8,Don,James
Washington,1986,12,8,3,1,16,18,21.6,23.5,39.7,17.8,Don,James
Washington,1987,12,7,4,1,13,,4.6,8.8,31.5,24.3,Don,James
Washington,1988,11,6,5,0,,,9.2,12,31.9,20.5,Don,James
Washington,1989,12,8,4,0,,23,17,20.5,37.8,18.3,Don,James
Washington,1990,12,10,2,0,20,5,26.4,28.7,44.4,17.5,Don,James
Washington,1991,12,12,0,0,4,2,33.4,36.2,46.7,12.1,Don,James
Washington,1992,12,9,3,0,2,11,20.9,25.3,38.5,13.9,Don,James
Cornell,1947,9,4,5,0,,,-6.7,,,,George,James
Cornell,1948,9,8,1,0,,19,11.6,,,,George,James
Cornell,1949,9,8,1,0,,12,6.9,,,,George,James
Cornell,1950,9,7,2,0,9,,4.1,,,,George,James
Cornell,1951,9,6,3,0,20,,10.2,,,,George,James
Cornell,1952,9,2,7,0,,,-12.2,,,,George,James
Cornell,1953,9,4,3,2,,,-6.7,,,,George,James
Cornell,1954,9,5,4,0,,,-5.7,,,,George,James
Cornell,1955,9,5,4,0,,,-17.2,,,,George,James
Cornell,1956,9,1,8,0,,,-22.2,,,,George,James
Cornell,1957,9,3,6,0,,,-20.6,,,,George,James
Cornell,1958,9,6,3,0,,,-15.6,,,,George,James
Cornell,1959,9,5,4,0,,,-21.9,,,,George,James
Cornell,1960,9,2,7,0,,,-28.9,,,,George,James
Purdue,1898,6,3,3,0,,,-1.8,,,,Alpha,Jamison
Purdue,1899,9,4,4,1,,,-14.3,,,,Alpha,Jamison
Purdue,1900,8,4,4,0,,,-10.8,,,,Alpha,Jamison
Tulane,1904,7,5,2,0,,,-12.2,,,,J.,Janvier
Wisconsin,1970,10,4,5,1,,,10.7,2.6,24.9,22.7,John,Jardine
Wisconsin,1971,11,4,6,1,,,3.2,-2.5,26.6,29,John,Jardine
Wisconsin,1972,11,4,7,0,,,-3.8,-11.6,15.1,25.8,John,Jardine
Wisconsin,1973,11,4,7,0,,,9.9,4.6,26.8,23.3,John,Jardine
Wisconsin,1974,11,7,4,0,,,16.4,14.3,39.1,26.4,John,Jardine
Wisconsin,1975,11,4,6,1,,,-3.9,-13.5,17.3,29.5,John,Jardine
Wisconsin,1976,11,5,6,0,,,6.8,0.4,31.2,31.7,John,Jardine
Wisconsin,1977,11,5,6,0,,,-1.3,-10.8,12.6,22.7,John,Jardine
Houston,1990,11,10,1,0,24,10,14.3,17.3,49.6,35.6,John,Jenkins
Houston,1991,11,4,7,0,12,,3.1,7.5,41.1,35.6,John,Jenkins
Houston,1992,11,4,7,0,,,-2.2,-2.4,40.8,42,John,Jenkins
Baylor,1926,10,6,3,1,,,0.1,,,,Morley,Jennings
Baylor,1927,9,2,7,0,,,3.4,,,,Morley,Jennings
Baylor,1928,10,8,2,0,,,2.5,,,,Morley,Jennings
Baylor,1929,11,7,3,1,,,12.4,,,,Morley,Jennings
Baylor,1930,10,6,3,1,,,12.1,,,,Morley,Jennings
Baylor,1931,9,3,6,0,,,-9.1,,,,Morley,Jennings
Baylor,1932,9,3,5,1,,,-1.5,,,,Morley,Jennings
Baylor,1933,10,6,4,0,,,4.2,,,,Morley,Jennings
Baylor,1934,10,3,7,0,,,-0.7,,,,Morley,Jennings
Baylor,1935,11,8,3,0,,,13.4,,,,Morley,Jennings
Baylor,1936,10,6,3,1,,,7,,,,Morley,Jennings
Baylor,1937,10,7,3,0,,,14.3,,,,Morley,Jennings
Baylor,1938,10,7,2,1,,,4.4,,,,Morley,Jennings
Baylor,1939,10,7,3,0,,,8.6,,,,Morley,Jennings
Baylor,1940,10,4,6,0,,,7.7,,,,Morley,Jennings
Nebraska,1957,10,1,9,0,,,-13.8,,,,William,Jennings
Nebraska,1958,10,3,7,0,,,-8.2,,,,William,Jennings
Nebraska,1959,10,4,6,0,,,0.7,,,,William,Jennings
Nebraska,1960,10,4,6,0,,,3,,,,William,Jennings
Nebraska,1961,10,3,6,1,,,2.8,,,,William,Jennings
Minnesota,1896,10,8,2,0,,,,,,,Alexander,Jerrems
Minnesota,1897,8,4,4,0,,,-24.6,,,,Alexander,Jerrems
Bowling Green,2016,12,4,8,0,,,-12.7,-6.6,25,31.8,Mike,Jinks
Bowling Green,2017,12,2,10,0,,,-14.3,-10,27.5,38.9,Mike,Jinks
Bowling Green,2018,7,1,6,0,,,-21,-22,24.7,43.9,Mike,Jinks
Northwestern,1908,4,2,2,0,,,-16.5,,,,Alton,Johnson
Vanderbilt,2002,12,2,10,0,,,-9,-6.7,26.2,32.3,Bobby,Johnson
Vanderbilt,2003,12,2,10,0,,,-8.4,-8.6,26.2,33.6,Bobby,Johnson
Vanderbilt,2004,11,2,9,0,,,-4.9,-6.2,25.9,31.9,Bobby,Johnson
Vanderbilt,2005,11,5,6,0,,,-2.1,-3.8,28.6,32.4,Bobby,Johnson
Vanderbilt,2006,12,4,8,0,,,1.5,1.9,25.6,22.5,Bobby,Johnson
Vanderbilt,2007,12,5,7,0,,,2.8,2.5,22.1,19,Bobby,Johnson
Vanderbilt,2008,13,7,6,0,,,4.4,-2,15.9,18.5,Bobby,Johnson
Vanderbilt,2009,12,2,10,0,,,-4.5,-5.5,16.3,22,Bobby,Johnson
Tulane,2012,12,2,10,0,,,-19.2,-22.5,17.8,41.3,Curtis,Johnson
Tulane,2013,13,7,6,0,,,-6.3,-8,15.6,24.1,Curtis,Johnson
Tulane,2014,12,3,9,0,,,-15.5,-15,16.2,28,Curtis,Johnson
Tulane,2015,12,3,9,0,,,-18.9,-14,20.3,32.5,Curtis,Johnson
Virginia,1907,10,6,3,1,,,-2.1,,,,Edward,Johnson
Southern Mississippi,2012,12,0,12,0,,,-21.8,-18.6,18.4,36,Ellis,Johnson
Oklahoma State,1979,11,7,4,0,,,4.1,5,24,19.8,Jimmy,Johnson
Oklahoma State,1980,11,3,7,1,,,1.1,-2.9,23.8,26.9,Jimmy,Johnson
Oklahoma State,1981,12,7,5,0,,,5.4,5.7,22.9,18,Jimmy,Johnson
Oklahoma State,1982,11,4,5,2,,,-0.3,1.4,28.8,28.1,Jimmy,Johnson
Oklahoma State,1983,12,8,4,0,,,13.5,20,31.1,11.6,Jimmy,Johnson
Miami,1984,13,8,5,0,10,18,11.6,14.9,39.9,27.4,Jimmy,Johnson
Miami,1985,12,10,2,0,,9,21.2,22.4,40.3,19.8,Jimmy,Johnson
Miami,1986,12,11,1,0,3,2,26.4,31.9,44,12.7,Jimmy,Johnson
Miami,1987,12,12,0,0,10,1,27.7,32.5,42.4,10.4,Jimmy,Johnson
Miami,1988,12,11,1,0,8,2,27.5,33.7,42.7,9.3,Jimmy,Johnson
Navy,2002,12,2,10,0,,,-14.2,-16.8,29.6,42.3,Paul,Johnson
Navy,2003,13,8,5,0,,,1,-3.8,31.2,34.7,Paul,Johnson
Navy,2004,12,10,2,0,,24,1.6,-3.4,27,30.2,Paul,Johnson
Navy,2005,12,8,4,0,,,0.9,-2.1,32.4,34.5,Paul,Johnson
Navy,2006,13,9,4,0,,,4.5,-1.9,27,28.3,Paul,Johnson
Navy,2007,12,8,4,0,,,-2.2,-9.8,32.6,41.6,Paul,Johnson
Georgia Tech,2008,13,9,4,0,,22,8.1,8.6,29.5,18.9,Paul,Johnson
Georgia Tech,2009,14,11,3,0,15,13,16.8,9.7,35.4,25.8,Paul,Johnson
Georgia Tech,2010,13,6,7,0,16,,0.6,2.9,30.4,27.9,Paul,Johnson
Georgia Tech,2011,13,8,5,0,,,3.4,5.1,32.6,26.3,Paul,Johnson
Georgia Tech,2012,14,7,7,0,,,5.4,6,36.1,28.1,Paul,Johnson
Georgia Tech,2013,13,7,6,0,,,8.1,11.4,35.3,24.9,Paul,Johnson
Georgia Tech,2014,14,11,3,0,,8,18.5,11.2,44.1,32,Paul,Johnson
Georgia Tech,2015,12,3,9,0,16,,4.6,9,33.1,25.4,Paul,Johnson
Georgia Tech,2016,13,9,4,0,,,7.3,7.8,35,28.5,Paul,Johnson
Georgia Tech,2017,11,5,6,0,,,8.7,8.9,34.9,25.1,Paul,Johnson
Georgia Tech,2018,13,7,6,0,,,3.4,0.3,33,33.9,Paul,Johnson
Presbyterian College,1915,8,4,4,0,,,-38.1,,,,Walter,Johnson
Presbyterian College,1916,7,4,3,0,,,-44.6,,,,Walter,Johnson
Presbyterian College,1917,9,8,1,0,,,-10.6,,,,Walter,Johnson
Presbyterian College,1919,9,4,3,2,,,-16.9,,,,Walter,Johnson
Presbyterian College,1920,7,5,1,1,,,-15.9,,,,Walter,Johnson
Presbyterian College,1921,8,1,7,0,,,-34.9,,,,Walter,Johnson
Presbyterian College,1922,9,6,2,1,,,-10.2,,,,Walter,Johnson
Presbyterian College,1923,8,4,3,1,,,-20.8,,,,Walter,Johnson
Presbyterian College,1924,8,1,6,1,,,-28.4,,,,Walter,Johnson
Presbyterian College,1925,9,3,6,0,,,-20.2,,,,Walter,Johnson
Presbyterian College,1926,9,7,2,0,,,-3,,,,Walter,Johnson
Presbyterian College,1935,9,2,7,0,,,-27.1,,,,Walter,Johnson
Presbyterian College,1936,9,3,6,0,,,-20.7,,,,Walter,Johnson
New Mexico State,1940,9,3,6,0,,,-32.5,,,,Julius,Johnston
New Mexico State,1941,9,2,7,0,,,-42.2,,,,Julius,Johnston
New Mexico State,1942,9,1,8,0,,,-47.5,,,,Julius,Johnston
Army,1926,9,7,1,1,,,22,,,,Biff,Jones
Army,1927,10,9,1,0,,,18.9,,,,Biff,Jones
Army,1928,10,8,2,0,,,10.6,,,,Biff,Jones
Army,1929,11,6,4,1,,,5.9,,,,Biff,Jones
LSU,1932,10,6,3,1,,,12.5,,,,Biff,Jones
LSU,1933,10,7,0,3,,,15.1,,,,Biff,Jones
LSU,1934,11,7,2,2,,,16.8,,,,Biff,Jones
Oklahoma,1935,9,6,3,0,,,6,,,,Biff,Jones
Oklahoma,1936,9,3,3,3,,,5.4,,,,Biff,Jones
Nebraska,1937,9,6,1,2,,11,8.6,,,,Biff,Jones
Nebraska,1938,9,3,5,1,,,3.3,,,,Biff,Jones
Nebraska,1939,9,7,1,1,,18,9.6,,,,Biff,Jones
Nebraska,1940,10,8,2,0,,7,14.4,,,,Biff,Jones
Nebraska,1941,9,4,5,0,,,5,,,,Biff,Jones
Central Michigan,2007,14,8,6,0,,,-3.1,-10.6,30.2,39.8,Butch,Jones
Central Michigan,2008,13,8,5,0,,,-6.9,-5.6,30.1,36.3,Butch,Jones
Central Michigan,2009,13,11,2,0,,23,4.5,3.5,29.1,25.7,Butch,Jones
Cincinnati,2010,12,4,8,0,,,-2.1,2.5,28.4,27.7,Butch,Jones
Cincinnati,2011,13,10,3,0,,25,7.9,12.8,30.1,17.8,Butch,Jones
Cincinnati,2012,12,9,3,0,,,10.5,11.1,33.8,23.7,Butch,Jones
Tennessee,2013,12,5,7,0,,,2.4,5.1,29.2,26.1,Butch,Jones
Tennessee,2014,13,7,6,0,,,10.9,12.2,31,19.9,Butch,Jones
Tennessee,2015,13,9,4,0,25,22,17.7,19.5,35.7,17.8,Butch,Jones
Tennessee,2016,13,9,4,0,9,22,10.4,16.3,39.9,25.2,Butch,Jones
Tennessee,2017,10,4,6,0,25,,-7.3,1.2,25.8,25.7,Butch,Jones
Oklahoma,1964,11,6,4,1,2,,10.9,,,,Gomer,Jones
Oklahoma,1965,10,3,7,0,,,-0.9,,,,Gomer,Jones
Syracuse,1908,10,6,3,1,,,14.3,,,,Howard,Jones
Yale,1909,10,10,0,0,,,31.2,,,,Howard,Jones
Ohio State,1910,10,6,1,3,0,0,,,,,Howard,Jones
Yale,1913,10,5,2,3,,,29.7,,,,Howard,Jones
Iowa,1916,7,4,3,0,,,-3.7,,,,Howard,Jones
Iowa,1917,8,3,5,0,,,5.3,,,,Howard,Jones
Iowa,1918,9,6,2,1,,,,,,,Howard,Jones
Iowa,1919,7,5,2,0,,,24.4,,,,Howard,Jones
Iowa,1920,7,5,2,0,,,16.9,,,,Howard,Jones
Iowa,1921,7,7,0,0,,,31.4,,,,Howard,Jones
Iowa,1922,7,7,0,0,,,25.1,,,,Howard,Jones
Iowa,1923,8,5,3,0,,,12.7,,,,Howard,Jones
Duke,1924,9,4,5,0,,,-21,,,,Howard,Jones
USC,1925,13,11,2,0,,,18.8,,,,Howard,Jones
USC,1926,10,8,2,0,,,22.3,,,,Howard,Jones
USC,1927,10,8,1,1,,,18.5,,,,Howard,Jones
USC,1928,10,9,0,1,,,25.6,,,,Howard,Jones
USC,1929,12,10,2,0,,,30.3,,,,Howard,Jones
USC,1930,10,8,2,0,,,20.5,,,,Howard,Jones
USC,1931,11,10,1,0,,,39.2,,,,Howard,Jones
USC,1932,10,10,0,0,,,36.1,,,,Howard,Jones
USC,1933,12,10,1,1,,,24.2,,,,Howard,Jones
USC,1934,11,4,6,1,,,4.4,,,,Howard,Jones
USC,1935,12,5,7,0,,,5.1,,,,Howard,Jones
USC,1936,9,4,2,3,,,14.7,,,,Howard,Jones
USC,1937,10,4,4,2,,,7.2,,,,Howard,Jones
USC,1938,11,9,2,0,,7,17.9,,,,Howard,Jones
USC,1939,10,8,0,2,,3,17.5,,,,Howard,Jones
USC,1940,9,3,4,2,,,9.7,,,,Howard,Jones
South Alabama,2012,13,2,11,0,,,-17.7,-25.5,9.7,34.3,Joey,Jones
South Alabama,2013,12,6,6,0,,,-3.8,-10.2,25.2,34.3,Joey,Jones
South Alabama,2014,13,6,7,0,,,-11.7,-4.3,23.4,28.3,Joey,Jones
South Alabama,2015,12,5,7,0,,,-17.6,-10.4,24.3,33.4,Joey,Jones
South Alabama,2016,13,6,7,0,,,-10,-9.4,25.2,33.3,Joey,Jones
South Alabama,2017,12,4,8,0,,,-16.3,-12,18.3,31.4,Joey,Jones
Hawai'i,1999,13,9,4,0,,,-3.3,0,33.8,34,June,Jones
Hawai'i,2000,12,3,9,0,,,-11.5,-13.3,29.6,39.2,June,Jones
Hawai'i,2001,12,9,3,0,,,1.3,4,43,39.7,June,Jones
Hawai'i,2002,14,10,4,0,,,-0.7,2.5,38.5,36.2,June,Jones
Hawai'i,2003,14,9,5,0,,,-3.1,-0.7,39.7,39.5,June,Jones
